month,u_gasoline_sum,u_diesel_sum,gasoline_price_base,diesel_price_base,cpi_yoy,cpi_target,x_gasoline,x_diesel,cpi_hat_next,inflation_excess,deflation_gap,Lpi_inflation,Lpi_deflation,Lpi_raw,Lpi_winsorized,Lpi,mechanism,mechanism_label
2024-02-01,200.0,200.0,9270.0,8245.0,0.0069999999999999,0.03,0.021574973031283712,0.02425712553062462,0.007669650738594167,0.0,0.012330349261405834,0.0,1.0627667342648692,1.0627667342648692,1.0627667342648692,0.9227014017867289,current,Current mechanism
2024-03-01,125.0,120.0,9470.0,8445.0,0.001,0.03,0.013199577613516367,0.014209591474245116,0.0017366961328213867,0.0,0.018263303867178615,0.0,2.331556185544661,2.331556185544661,2.331556185544661,2.0242731461054646,current,Current mechanism
2024-04-01,330.0,315.0,9595.0,8565.0,0.003,0.03,0.034392912975508075,0.03677758318739054,0.005064410665617431,0.0,0.01493558933438257,0.0,1.5593080577849108,1.5593080577849108,1.5593080577849108,1.3538020003333096,current,Current mechanism
2024-05-01,-235.0,-225.0,9925.0,8880.0,0.003,0.03,0.0,0.0,0.0027156161734364468,0.0,0.017284383826563554,0.0,2.0883101499002934,2.0883101499002934,2.0883101499002934,1.8130852618484614,current,Current mechanism
2024-06-01,20.0,20.0,9690.0,8655.0,0.002,0.03,0.0020639834881320948,0.002310803004043905,0.0019049290720517887,0.0,0.018095070927948213,0.0,2.288799632071034,2.288799632071034,2.288799632071034,1.9871516117614547,current,Current mechanism
2024-07-01,-35.0,-35.0,9710.0,8675.0,0.005,0.03,0.0,0.0,0.004576673402630618,0.0,0.015423326597369382,0.0,1.6628125959336988,1.6628125959336988,1.6628125959336988,1.4436653535622153,current,Current mechanism
2024-08-01,-305.0,-290.0,9675.0,8640.0,0.006,0.03,0.0,0.0,0.005507202017227704,0.0,0.014492797982772296,0.0,1.4682218149217698,1.4682218149217698,1.4682218149217698,1.2747202966408788,current,Current mechanism
2024-09-01,-465.0,-450.0,9370.0,8350.0,0.004,0.03,0.0,0.0,0.003646144788033532,0.0,0.01635385521196647,0.0,1.8695087075932064,1.8695087075932064,1.8695087075932064,1.6231203419647426,current,Current mechanism
2024-10-01,230.0,220.0,8905.0,7900.0,0.003,0.03,0.02582818641212802,0.027848101265822784,0.004432860665097212,0.0,0.015567139334902788,0.0,1.6939665126487544,1.6939665126487544,1.6939665126487544,1.470713398723332,current,Current mechanism
2024-11-01,-145.0,-140.0,9135.0,8120.0,0.002,0.03,0.0,0.0,0.0017850875588393607,0.0,0.01821491244116064,0.0,2.3192169228549595,2.3192169228549595,2.3192169228549595,2.013560113213371,current,Current mechanism
